1,register-radiation,"[-0.1218318939208984, -0.0259771347045898]",radiation
2,move,"[-7.608221530914307, 3.3208255767822266]",waypoint
3,register-radiation,"[-7.608221530914307, 3.3208255767822266]",radiation
4,move,"[-0.0354486815631389, -5.020480632781982]",waypoint
5,register-radiation,"[-0.0354486815631389, -5.020480632781982]",radiation
6,move,"[-7.608221530914307, 3.3208255767822266]",waypoint
7,move,"[-6.694038391113281, -5.239445686340332]",waypoint
8,register-radiation,"[-6.694038391113281, -5.239445686340332]",radiation
9,move,"[4.361365795135498, 4.347860813140869]",waypoint
10,register-radiation,"[4.361365795135498, 4.347860813140869]",radiation
11,inspect-wall,"[4.361365795135498, 4.347860813140869]",wall-obj12
12,move,"[-7.608221530914307, 3.3208255767822266]",waypoint
13,move,"[0.4798393845558166, 7.239800930023193]",waypoint
14,register-radiation,"[0.4798393845558166, 7.239800930023193]",radiation
15,inspect-wall,"[0.4798393845558166, 7.239800930023193]",wall-obj15
16,move,"[-7.608221530914307, 3.3208255767822266]",waypoint
17,move,"[-3.381991147994995, 3.801892757415772]",waypoint
18,register-radiation,"[-3.381991147994995, 3.801892757415772]",radiation
19,inspect-wall,"[-3.381991147994995, 3.801892757415772]",wall-obj13
20,move,"[-7.608221530914307, 3.3208255767822266]",waypoint
21,move,"[0.1759240478277206, 0.218757078051567]",waypoint
22,register-radiation,"[0.1759240478277206, 0.218757078051567]",radiation
23,inspect-wall,"[0.1759240478277206, 0.218757078051567]",wall-obj14
24,move,"[-7.608221530914307, 3.3208255767822266]",waypoint
25,move,"[1.4204607009887695, 5.208882808685303]",waypoint
26,register-radiation,"[1.4204607009887695, 5.208882808685303]",radiation
27,inspect-vessel,"[1.4204607009887695, 5.208882808685303]",vessel-obj32
28,move,"[-7.608221530914307, 3.3208255767822266]",waypoint
29,move,"[-0.5661982893943787, 5.032551288604736]",waypoint
30,register-radiation,"[-0.5661982893943787, 5.032551288604736]",radiation
31,inspect-vessel,"[-0.5661982893943787, 5.032551288604736]",vessel-obj22
32,move,"[-7.608221530914307, 3.3208255767822266]",waypoint
33,move,"[-0.6604978442192078, 2.0719447135925293]",waypoint
34,register-radiation,"[-0.6604978442192078, 2.0719447135925293]",radiation
35,inspect-vessel,"[-0.6604978442192078, 2.0719447135925293]",vessel-obj2
36,move,"[-7.608221530914307, 3.3208255767822266]",waypoint
37,move,"[1.5060231685638428, 2.0962138175964355]",waypoint
38,register-radiation,"[1.5060231685638428, 2.0962138175964355]",radiation
